id,title,vote_average,release_date,revenue,runtime,popularity,vote_count
982271,Book Club: The Next Chapter,6.609,2023-05-11,27849137,108,29.292,92
948050,In His Shadow,6.357,2023-03-17,0,89,13.46,91
1094319,The Best Man,6.126,2023-04-21,0,93,57.156,91
826753,Candy Land,6.187,2023-01-06,0,93,35.765,91
1120628,Hard Feelings,5.917,2023-05-24,0,103,27.812,90
647250,The Machine,5.989,2023-05-25,0,112,34.71,90
1070802,Confidential Informant,6.4,2023-06-27,0,88,101.412,89
856289,Creation of the Gods I: Kingdom of Storms,7.5,2023-07-20,357736908,148,254.998,89
957752,BDE,4.646,2023-01-20,0,105,9.971,89
977223,Polite Society,6.478,2023-04-27,0,103,39.726,89
1058647,The Deepest Breath,7.585,2023-01-21,0,108,21.641,88
850871,Sayen,6.128,2023-03-03,0,94,29.726,86
970284,Shooting Stars,8.171,2023-06-02,0,116,19.952,85
991708,El Conde,6.429,2023-09-08,0,112,195.832,85
516806,Last Sentinel,5.667,2023-03-17,0,112,22.635,84
1081291,Faraway,6.705,2023-03-08,0,109,17.027,83
1128568,You Do You,6.4,2023-06-09,0,99,21.035,83
299054,Expend4bles,6.685,2023-09-15,15000000,103,484.627,81
1121316,Where the Tracks End,8.45,2023-05-26,0,95,11.01,80
997776,"Justice League x RWBY: Super Heroes & Huntsmen, Part One",7.373,2023-04-25,0,83,24.088,79
632065,House Party,5.873,2023-01-12,0,100,14.878,79
1081313,Tonight You're Sleeping with Me,6.372,2023-03-01,0,93,15.273,78
1027159,Lupin The 3rd vs. Cat’s Eye,6.0,2023-01-23,0,92,24.272,78
821890,Paint,5.539,2023-04-06,811467,96,17.339,76
1070777,One Day as a Lion,6.151,2023-04-04,0,87,60.538,76
926008,The Beanie Bubble,6.807,2023-07-21,0,110,15.98,75
719256,Jesus Revolution,6.9,2023-02-23,52300000,120,25.539,75
561717,The Perfect Find,6.0,2023-06-23,0,99,24.96,75
814776,Bottoms,7.127,2023-08-25,11600000,92,100.876,75
978783,A Day and a Half,6.655,2023-09-01,0,96,37.699,74
888082,On the Wandering Paths,6.216,2023-03-22,0,92,5.38,74
785759,Two Witches,6.205,2023-03-02,537974,95,47.717,73
1074262,10 Days of a Bad Man,6.944,2023-08-18,0,124,26.24,72
1159086,The Great Seduction,6.754,2023-08-30,0,95,47.677,71
1006911,Make Me Believe,6.465,2023-06-23,0,104,19.615,71
925714,The Sitting Duck,7.085,2023-03-01,3836554,122,6.285,71
888003,The Book of Solutions,6.214,2023-09-13,0,102,8.878,70
820525,After Everything,6.768,2023-09-13,3280152,93,474.472,69
1122634,Once Upon a Crime,6.652,2023-09-13,0,105,102.468,69
1020394,The Squad: Home Run,6.067,2023-08-25,0,93,187.793,67
872906,Jawan,7.4,2023-09-07,128690264,169,52.487,67
1008048,How to Blow Up a Pipeline,6.455,2023-04-07,882348,104,21.616,67
1073337,10 Days of a Good Man,6.858,2023-02-10,0,124,14.49,67
870518,Sanctuary,6.2,2023-04-06,0,96,46.447,67
1020910,Influencer,6.311,2023-05-18,0,92,15.352,66
958279,The Blue Caftan,7.455,2023-02-10,0,122,13.944,66
866463,Reptile,7.354,2023-09-29,0,136,148.667,65
1100962,One More Time,5.82,2023-04-12,0,85,11.936,64
1046064,¡Asu Mare! Los amigos,6.625,2023-02-09,0,90,19.51,64
974561,Bonne Conduite,6.156,2023-03-29,0,95,5.332,64
878375,On a Wing and a Prayer,6.234,2023-03-28,0,102,15.436,64
1142615,Gabriel's Redemption: Part 1,6.773,2023-06-22,0,110,34.189,64
636173,Dream,7.056,2023-04-26,3890008,125,20.084,63
1024621,Call Me Chihiro,7.2,2023-02-23,0,131,7.865,63
726274,Irati,6.6,2023-02-24,0,112,9.314,63
983883,Marry My Dead Body,6.952,2023-02-10,0,130,16.822,63
1072371,Jules,7.8,2023-08-10,2000000,87,62.301,62
891636,Fireworks,7.379,2023-03-23,0,134,13.855,62
1126852,Rich in Love 2,6.879,2023-06-02,0,89,23.762,62
1141202,Love Tactics 2,7.336,2023-07-14,0,98,25.316,61
1000603,The Small Victories,6.833,2023-03-01,0,89,8.747,60
802124,Casanova's Return,6.092,2023-03-30,0,95,3.472,60
890215,You Hurt My Feelings,6.642,2023-05-26,5000000,93,11.188,60
828373,Between Us,6.069,2023-07-12,0,90,76.038,58
1073140,The Three Musketeers,5.578,2023-03-23,0,94,48.68,58
934506,A Real Job,6.388,2023-09-13,0,111,10.21,58
995012,The Tutor,6.422,2023-03-24,0,92,175.688,58
860278,Stephen Curry: Underrated,7.491,2023-07-21,0,110,19.254,58
1053587,Fate,6.579,2023-04-12,0,98,17.621,57
1117698,Fanfic,7.491,2023-05-17,0,95,13.779,57
1153366,Head to Head,6.325,2023-08-03,0,94,70.736,57
1074034,Ambush,6.6,2023-02-24,0,104,71.43,56
971699,Blue Jean,7.08,2023-02-10,0,97,18.146,56
951491,Saw X,7.321,2023-09-26,29300000,118,949.967,56
691422,When You Finish Saving the World,6.1,2023-01-20,0,88,16.294,56
828898,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,7.107,2023-07-21,0,84,75.537,56
875818,For Better And For Worse,5.518,2023-02-15,0,98,9.263,55
800085,Ferocious Wolf,7.027,2023-01-27,0,105,7.221,55
986054,Theater Camp,6.536,2023-07-13,0,93,83.179,55
852436,Let Her Kill You,6.917,2023-03-08,0,94,780.608,54
812635,Chevalier,6.519,2023-04-20,3000000,107,14.333,54
1064517,Fist of the Condor,7.454,2023-04-04,0,85,130.475,54
734253,Adipurush,5.491,2023-06-16,43000000,179,349.287,53
893752,Quasi,5.311,2023-04-20,0,100,13.545,53
1049951,Viking: Bloodlust,6.933,2023-04-21,0,82,324.115,52
1075334,The Girl Who Escaped: The Kara Robinson Story,7.327,2023-02-11,0,88,15.985,52
890203,The Book of Wonders,6.413,2023-03-15,4324164,98,5.697,52
1093994,One Ranger,6.606,2023-05-05,0,95,14.397,52
667717,Deep Sea,7.1,2023-01-22,136090000,105,57.135,52
1114901,Take Care of Maya,7.731,2023-06-10,0,103,12.368,52
717082,Stan Lee,7.275,2023-06-16,0,86,9.14,51
790493,Spy Kids: Armageddon,6.588,2023-09-22,0,98,613.403,51
776098,Chang Can Dunk,7.0,2023-03-10,0,108,10.719,50
1098160,The Tank,5.1,2023-04-21,0,100,63.394,50
989473,Invitation to a Murder,5.86,2023-05-05,0,93,15.592,50
1074656,Squared Love All Over Again,5.582,2023-02-13,0,99,6.983,49
800279,Corner Office,7.0,2023-08-04,0,101,23.422,49
1052947,The Hottest Summer,5.031,2023-07-06,0,96,6.748,49
1078862,All the Places,6.813,2023-02-14,0,97,9.026,48
1094266,The Pope: Answers,7.656,2023-04-05,0,83,6.085,48
1163045,Jagun Jagun,6.49,2023-08-10,0,134,206.348,48
936952,Sitting in Bars with Cake,7.375,2023-09-07,0,120,93.974,48
1094403,Malum,5.885,2023-03-31,0,92,32.969,48
1143319,Puppy Love,7.177,2023-08-22,0,106,16.401,48
950792,Vaincre ou mourir,6.702,2023-01-25,0,115,6.143,47
1072074,Disquiet,6.5,2023-02-10,0,85,24.092,47
958335,Two Tickets to Greece,6.128,2023-01-11,0,110,5.933,47
949903,Apaches: Gang of Paris,6.032,2023-03-29,0,95,5.951,47
729120,Cassandro,6.638,2023-09-14,0,99,81.678,47
977349,Grand Expectations,6.2,2023-03-22,0,105,5.021,47
995767,The King of Algiers,6.228,2023-05-24,0,92,19.815,46
1017066,Heaven in Hell,7.337,2023-02-10,0,120,49.465,46
1160007,Divine Intervention,8.163,2023-08-04,0,100,74.83,46
1074211,La primavera della mia vita,6.511,2023-02-20,0,95,2.845,46
986594,Mrs. Chatterjee Vs Norway,5.174,2023-03-16,0,135,8.429,46
957608,Junkyard Dog,7.609,2023-04-19,0,93,4.942,46
994025,The In(famous) Youssef Salem,6.609,2023-01-18,0,97,3.474,46
1114590,Anna Nicole Smith: You Don't Know Me,6.3,2023-05-16,0,116,14.966,45
976293,Lie with Me,7.622,2023-02-22,0,98,26.679,45
1061163,At Midnight,5.6,2023-02-10,0,100,9.559,44
611359,Tu Jhoothi Main Makkaar,6.6,2023-03-08,0,164,6.992,44
1108211,Lost in the Stars,6.33,2023-06-22,334039200,122,23.732,44
1134865,Wham!,7.407,2023-06-27,0,92,8.869,43
944152,Chokehold,5.651,2023-04-21,0,112,6.266,43
1104040,Gangs of Lagos,6.3,2023-04-07,0,124,20.092,43
994751,Oh Belinda,6.44,2023-04-07,0,97,11.764,42
893345,The Secret Kingdom,6.9,2023-04-27,0,98,79.467,42
1139819,Happy Ending,5.583,2023-09-01,0,93,69.966,42
989224,Toni,6.8,2023-09-06,0,96,7.231,41
1151344,The List,6.634,2023-08-12,0,97,53.447,41
921355,Assassin,6.0,2023-03-31,0,88,13.047,41
855263,A Thousand and One,6.9,2023-03-31,0,116,12.641,41
1081676,Forgotten Love,8.293,2023-09-27,0,140,142.572,41
1087771,Nada que ver,8.061,2023-03-02,0,90,18.127,41
752867,The Outwaters,4.8,2023-02-09,0,110,42.89,40
1109534,The Dive,6.3,2023-08-24,0,91,69.585,39
984105,The Mummy Resurrection,6.6,2023-01-02,0,85,50.009,39
1105803,Snag,5.9,2023-04-28,0,87,30.364,39
840111,Scarlet,7.013,2023-01-11,279383,100,12.455,39
977177,Home for Rent,7.103,2023-04-06,0,124,164.06,39
936374,Rascals,7.039,2023-01-11,0,102,4.064,38
939338,Epic Tails,6.868,2023-01-25,4834952,95,304.93,38
940241,97 Minutes,4.763,2023-06-09,0,93,149.718,38
1113448,Ehrengard: The Art of Seduction,6.724,2023-09-14,0,95,70.801,38
1047041,Detective Conan: Black Iron Submarine,6.579,2023-04-14,0,110,197.862,38
765904,Linoleum,6.4,2023-03-17,0,101,8.73,38
1088080,Older Gods,6.27,2023-03-01,0,82,92.55,37
979275,Mob Land,5.8,2023-08-04,0,111,242.638,37
967370,Life For Real,5.324,2023-04-19,0,110,8.615,37
846961,One True Loves,6.7,2023-04-07,37820,100,10.169,37
818721,Visions,6.216,2023-09-06,0,123,7.633,37
937020,Jailer,7.2,2023-08-10,0,165,23.864,37
614431,Quando,5.77,2023-03-30,0,105,2.895,37
983768,Black Warrant,5.6,2023-01-09,0,94,21.542,36
958179,Divertimento,7.375,2023-01-25,0,110,3.906,36
950071,Jaane Jaan,7.125,2023-09-21,0,139,99.944,36
963861,Da grandi,6.375,2023-04-29,0,103,2.143,36
1075519,The Locksmith,5.694,2023-02-03,0,91,17.076,36
922830,Disco Boy,6.931,2023-03-09,0,91,5.996,36
915980,Sun and Concrete,7.639,2023-03-02,0,119,3.988,36
1152797,Freestyle,6.736,2023-09-13,0,88,444.5,36
1158959,A Life Too Short: The Isabella Nardoni Case,7.2,2023-08-17,0,104,9.588,35
818511,Overhaul,7.1,2023-09-27,0,100,105.095,35
1098164,Lewis Capaldi: How I'm Feeling Now,7.6,2023-04-05,0,96,6.308,35
881693,The Astronaut,7.0,2023-02-15,0,110,47.307,35
984307,Les Complices,5.343,2023-04-12,0,97,3.496,35
1155458,The Strange Case of a Claustrophobic Ghost,7.5,2023-07-21,0,117,75.974,35
1148969,The (Almost) Legends,7.886,2023-07-19,0,97,37.25,35
1007631,Green Tide,7.309,2023-07-12,0,107,3.411,34
1150215,Squared Love Everlasting,6.515,2023-08-23,0,102,22.869,34
1133923,The Initiated,7.5,2023-07-06,0,112,13.704,34
844409,The Unlikely Pilgrimage of Harold Fry,6.456,2023-04-28,0,108,22.526,34
1006141,Massimo Troisi: Somebody Down There Likes Me,7.765,2023-02-23,0,128,3.465,34
553147,Fool's Paradise,4.515,2023-05-12,0,99,14.009,33
1000572,A Great Friend,6.833,2023-02-22,0,95,6.518,33
852445,Acide,6.5,2023-09-20,0,99,11.596,33
898673,Passages,6.7,2023-06-28,62578,92,12.4,33
800089,Maggie Moore(s),5.591,2023-06-16,0,99,7.595,33
982186,Notre tout petit petit mariage,4.1,2023-04-26,0,82,5.576,33
